,index,ticker,ytdReturn,3 Year,yield_db,esg_global_score,id,symbol,yield,ytdReturn,threeYearAverageReturn,fiveYearAverageReturn,cashPosition,stockPosition,bondPosition,otherPosition,basic_materials,communication_services,consumer_cyclical,consumer_defensive,energy,financial_services,healthcare,industrials,realestate,technology,utilities,stock_id,meanAnnualReturn,standardDeviation
35,164,IDHQ,0.0733,0.018500000000000003,0.0255,0.9235,43,IDHQ,0.0257,0.0634437,0.018924200000000002,0.061584402,-0.003,0.9961,0.0,0.0056,0.1066,0.0347,0.1011,0.136,0.1554,0.0544,0.2028,0.115200005,0.0053,0.086,0.0026,43,0.52,18.07
36,165,RFEU,0.0382,0.0204,0.0005340000000000001,0.9201999999999999,44,RFEU,0.052600004000000006,0.0280123,0.0191582,0.0267815,0.0038,0.98370004,0.0,0.0125,0.0364,0.0645,0.131,0.1087,0.097600006,0.1364,0.1701,0.1314,0.009000000000000001,0.0654,0.0497,44,0.27,19.89
37,166,IMTM,0.026000000000000002,-0.0116,0.000248,0.9189,45,IMTM,0.025,0.018640900000000002,-0.0017678000000000001,0.047220804000000005,0.0052,0.99480003,0.0,0.0,0.0558,0.039100002,0.1603,0.0922,0.0287,0.18270001,0.1254,0.21090001,0.0069999998,0.072399996,0.0254,45,0.39,16.71
38,168,PHO,0.009399999999999999,0.0707,0.0073,0.9137000000000001,47,PHO,0.007099999599999999,0.0061397,0.07440880000000001,0.124408595,0.00090000004,0.9992,0.0,0.0,0.0793,0.0,0.0,0.0,0.0,0.0,0.1225,0.565,0.0,0.113299996,0.119899996,47,1.07,20.09
39,169,INTF,0.053099999999999994,0.046900000000000004,0.000275,0.9122,48,INTF,0.0274,0.0438391,0.045545503,0.0283872,0.008,0.985,0.0,0.0,0.0791,0.0585,0.115100004,0.09029999400000001,0.06,0.2061,0.1046,0.1497,0.0249,0.0829,0.028900001,48,0.29,18.79
40,170,HDMV,0.0008,0.0038,0.000335,0.9107,49,HDMV,0.033099998,-0.0030824999999999997,0.0035686999999999997,-0.0088727,0.0108,0.9892,0.0,0.0,0.03,0.12140000599999999,0.0712,0.18969999,0.0,0.1423,0.061300002,0.1868,0.0877,0.0217,0.0879,49,-0.01,14.47
41,171,DJD,-0.037599999999999995,0.0832,0.037599999999999995,0.9095,50,DJD,0.0378,-0.0421105,0.0864018,0.06430459999999999,-0.0007,1.0007,0.0,0.0,0.0645,0.0963,0.074499995,0.0884,0.0507,0.1445,0.23600000000000002,0.118999995,0.0,0.1261,0.0,50,0.64,18.13
42,172,ENZL,-0.105,-0.0933,0.000166,0.907,51,ENZL,0.016,-0.1089859,-0.08972619999999999,0.011396901000000001,0.0085,0.9915,0.0,0.0,0.0442,0.1259,0.0104,0.0452,0.0,0.0,0.3332,0.17639999,0.082399994,0.0,0.1823,51,0.24,21.18
43,173,IXN,0.31829999999999997,0.096,5.9e-05,0.9062,52,IXN,0.0061000003,0.31509899999999996,0.1019582,0.17726960000000003,0.0037,0.9963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0050999997,0.0,0.9949,0.0,52,1.44,23.11
44,174,CGW,-0.0215,0.0311,0.0144,0.9034,53,CGW,0.0145000005,-0.023380500000000002,0.0337,0.082658395,-0.0001,1.0001,0.0,0.0,0.055,0.0,0.0052,0.0,0.0031,0.0,0.0,0.5287,0.0,0.028299998,0.3797,53,0.78,19.68
45,176,PID,0.0036,0.11199999999999999,0.0363,0.8998999999999999,54,PID,0.0354,-0.0009509000000000001,0.1133769,0.0525558,0.0,1.0,0.0,0.0,0.09770001,0.1019,0.0442,0.0166,0.13229999,0.18030001,0.0794,0.0634,0.0041,0.0739,0.2062,54,0.59,20.41
46,177,QEFA,0.051399999999999994,0.045599999999999995,0.0281,0.899,56,QEFA,0.027999998999999998,0.042623900000000006,0.044449300000000004,0.045200802000000005,0.0027,0.9965,0.0,0.0,0.0799,0.0577,0.1029,0.1233,0.0358,0.16219999,0.159,0.1543,0.0165,0.0691,0.0396,56,0.42,16.18
47,178,EWG,0.057999999999999996,-0.0184,0.00029600000000000004,0.8985,57,EWG,0.0293,0.0577882,-0.015881299999999998,0.008820200000000002,0.0095,0.98190004,0.0,0.0,0.0763,0.0573,0.1557,0.026099999,0.0,0.1918,0.1043,0.1711,0.023,0.1532,0.041199997,57,0.24,24.08
48,179,HEWG,0.1002,0.0417,0.000337,0.8985,58,HEWG,0.033,0.092427105,0.0436594,0.050155702999999996,0.0099,0.9815,0.0,0.0,0.0763,0.0573,0.1557,0.026099999,0.0,0.1918,0.1043,0.1711,0.023,0.1532,0.041199997,58,0.54,20.45
49,180,EZA,-0.0883,0.0394,0.000343,0.898,59,EZA,0.0355,-0.09539349400000001,0.0371675,0.0006172,0.0041,0.9959,0.0,0.0,0.21600000000000003,0.2283,0.0588,0.038,0.0113,0.3691,0.0343,0.0212,0.0231,0.0,0.0,59,0.21,28.51
50,182,IGRO,0.0378,0.0451,0.000273,0.8961,60,IGRO,0.0273,0.0286139,0.0423983,0.0466439,0.0077,0.9917,0.0,0.0,0.0547,0.0255,0.0301,0.1263,0.0308,0.28,0.1619,0.1157,0.0168,0.0689,0.089499995,60,0.45,17.92
51,183,RFDI,0.053099999999999994,0.0187,0.000342,0.8946999999999999,61,RFDI,0.0336,0.043020602000000005,0.017194001,0.022475099999999998,0.0033000002,0.9886,0.0,0.0082,0.082600005,0.0762,0.1294,0.0758,0.08270001,0.1709,0.1046,0.1251,0.0535,0.0546,0.0446,61,0.24,19.19
52,184,XLK,0.3565,0.1243,0.0083,0.8942,62,XLK,0.0086,0.348721,0.1291244,0.2024265,0.0014,0.9986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,62,1.62,23.12
53,186,USXF,0.1465,0.0742,0.000126,0.8906000000000001,64,USXF,0.0127,0.1338566,0.0763133,0.0,0.0017,0.9983,0.0,0.0,0.0325,0.0251,0.0771,0.0224,0.0,0.14899999,0.125,0.1031,0.0431,0.42130002,0.0014,64,0.0,0.0
54,187,IEFA,0.0433,0.0395,0.00025299999999999997,0.8868,65,IEFA,0.0252,0.0349646,0.0380801,0.038216602,0.0083,0.9903,0.0,0.0005,0.0747,0.0418,0.1157,0.0924,0.0466,0.17889999,0.1272,0.17040001,0.0348,0.087,0.030299998999999998,65,0.39,18.72
55,188,EWD,0.0062,-0.0038,5.9e-05,0.8867,66,EWD,0.006,-0.0009279,-0.0046204003,0.045174498,0.0344,0.96559995,0.0,0.0,0.0431,0.0194,0.0655,0.028499998,0.0,0.29659998,0.0174,0.4454,0.0146,0.0695,0.0,66,0.49,23.91
