stock_id,meanAnnualReturn,standardDeviation
224,1.28,23.83
224,0.85,23.8
224,1.52,19.15
225,1.28,28.37
225,2.22,24.58
225,0,0
226,0.74,36.93
226,0.13,36.89
226,0,0
227,0.89,17.49
227,0.92,16.63
227,0,0
228,0.22,18.18
228,0.55,16.25
228,0.19,14.59
229,0.74,14.75
229,0.6,14.96
229,0.76,12.66
230,0.21,18.65
230,0.61,15.78
230,0.36,15
231,0.57,22.04
231,0.18,21.66
231,0,0
232,0.68,16.54
232,0.61,15.18
232,0,0
233,0.06,25
233,-0.08,24.85
233,0.33,20.34
234,0.16,1.36
234,0.12,0.92
234,0.14,0.98
235,0.23,7.79
235,-0.25,6.36
235,0,0
236,0.27,4.14
236,0,2.04
236,0,0
237,0.58,17.22
237,0.53,18.32
237,0.75,14.48
238,0.99,20.64
238,0.71,20.52
238,1.15,16.25
239,1,20.62
239,0.72,20.52
239,1.16,16.23
240,0.97,31.03
240,2.61,25.37
240,0.52,25.39
241,1,20.65
241,0.71,20.53
241,1.16,16.25
242,0.66,18.25
242,0.68,17.33
242,0.71,14.58
243,0,0
243,0,0
243,0,0
244,0.68,18.32
244,0.66,17.46
244,0,0
245,0.55,22.52
245,1.21,21.71
245,0.6,18.25
246,0.15,20.93
246,0.46,19.86
246,0.33,16.51
247,0.06,7.54
247,-0.45,8.01
247,0.15,5.83
248,0,0
248,0,0
248,0,0
249,0.5,16.82
249,0.36,17.69
249,0.72,14.77
250,0.28,4.16
250,0,2.06
250,0,0
251,0.68,18.27
251,0.73,17.15
251,0.73,14.56
252,0,0
252,0,0
252,0,0
253,0.15,3
253,-0.05,2.75
253,0,0
254,0.98,20.61
254,0.72,20.37
254,1.12,16.23
255,0.64,18.05
255,0.96,17.16
255,0.82,14.26
256,0.71,23.61
256,1.24,19.88
256,0.78,18.35
257,0.64,29.35
257,0.9,26.2
257,0,0
258,0,0
258,0,0
258,0,0
259,0.82,23.22
259,1.12,21.38
259,0.94,18.34
260,0.81,20.97
260,1.04,19.03
260,0.9,16.29
261,0,0
261,0,0
261,0,0
262,0.17,2.05
262,0.14,0.89
262,0.13,1.46
263,0.41,23.34
263,0.89,22.24
263,-0.37,22.21
264,1.03,21.66
264,0.55,21.56
264,1.19,17.19
265,0.24,6.91
265,-0.21,5.4
265,0,0
266,0.39,22.03
266,1.06,20.5
266,0.39,17.1
267,0,0
267,0,0
267,0,0
268,0.68,17.67
268,1.05,16.64
268,0.83,14
269,0.12,5.58
269,-0.26,5.35
269,0.16,4.32
270,0.6,25.55
